;dia;hora inici;hora final;resultat
0;2001-04-15;07:57:30.000;08:15:30.000;FALSO
1;2001-04-15;08:46:30.000;09:07:30.000;FALSO
2;2001-04-15;12:53:30.000;13:14:30.000;FALSO
3;2001-04-15;13:38:30.000;14:14:30.000;VERDADERO
4;2001-04-15;14:18:30.000;14:28:30.000;FALSO
5;2001-04-15;15:15:30.000;15:32:30.000;FALSO
6;2001-04-15;15:36:30.000;15:51:30.000;FALSO
7;2001-04-26;12:22:30.000;12:40:30.000;FALSO
8;2001-04-26;12:58:30.000;13:12:30.000;VERDADERO
9;2001-04-26;17:59:30.000;18:20:30.000;FALSO
10;2001-12-13;14:12:30.000;14:37:30.000;VERDADERO
11;2004-07-16;10:15:30.000;11:04:30.000;FALSO
12;2004-07-16;13:01:30.000;13:19:30.000;FALSO
13;2004-07-16;13:48:30.000;13:56:30.000;VERDADERO
14;2004-07-20;12:20:30.000;12:28:30.000;VERDADERO
15;2004-07-20;12:38:30.000;12:50:30.000;FALSO
16;2004-07-20;12:59:30.000;13:20:30.000;FALSO
17;2004-07-20;13:46:30.000;14:07:30.000;FALSO
18;2004-07-20;15:52:30.000;16:08:30.000;FALSO
19;2004-08-14;09:48:30.000;10:02:30.000;FALSO
20;2004-08-14;10:37:30.000;10:55:30.000;FALSO
21;2004-08-14;11:30:30.000;12:07:30.000;FALSO
22;2004-08-14;16:36:30.000;17:06:30.000;FALSO
23;2004-08-15;12:34:30.000;12:42:30.000;VERDADERO
24;2004-08-15;13:29:30.000;13:47:30.000;FALSO
25;2005-05-27;08:04:30.000;08:33:30.000;FALSO
26;2005-05-27;12:22:30.000;12:28:30.000;VERDADERO
27;2005-09-09;07:50:30.000;07:59:30.000;FALSO
28;2005-09-09;09:48:30.000;10:03:30.000;VERDADERO
29;2005-09-09;13:55:30.000;14:09:30.000;FALSO
30;2005-09-09;15:22:30.000;15:55:30.000;FALSO
31;2006-04-27;11:36:30.000;11:55:30.000;FALSO
32;2006-04-27;12:39:30.000;13:00:30.000;FALSO
33;2006-04-27;15:24:30.000;15:53:30.000;VERDADERO
34;2011-08-09;05:31:30.000;05:40:30.000;FALSO
35;2011-08-09;07:57:30.000;08:18:30.000;VERDADERO
36;2011-08-09;12:14:30.000;12:26:30.000;FALSO
37;2011-08-09;17:40:30.000;18:06:30.000;FALSO
38;2011-09-08;10:36:30.000;10:54:30.000;FALSO
